binned_hours,airtemp,rainfall,humidity,date,weekDay,mean_hourlyL1,mean_hourlySE18,mean_hourlySE20,mean_hourlySE24,mean_hourlySE26,mean_hourlySE28,mean_hourlySE29,TotalL1,L1available,TotalSE18,SE18available,TotalSE20,SE20available,TotalSE24,SE24available,TotalSE26,SE26available,TotalSE28,SE28available,TotalSE29,SE29available,weekNum,hour,workingHour,workDay,PH,weeklyTemp,weeklyHumid,weeklyrainfall
2018-01-01 00,24.46363636,0.327272727,88.19049042,1/1/2018,Monday,142.9090909,0,499.8181818,132.9090909,102.1818182,173.7272727,121.7272727,178,35.09090909,279,279,548,48.18181818,167,34.09090909,214,111.8181818,186,12.27272727,333,211.2727273,1,0,0,0,1,26.67089134,88.19049042,0.028006629
2018-01-01 01,24.525,0.683333333,88.19049042,1/1/2018,Monday,140.75,0,507,136.75,94.16666667,168.0833333,121.75,178,37.25,279,279,548,41,167,30.25,214,119.8333333,186,17.91666667,333,211.25,1,1,0,0,1,26.67089134,88.19049042,0.028006629
2018-01-01 02,24.75833333,0.316666667,88.19049042,1/1/2018,Monday,142.25,0,520.4166667,147.8333333,88.08333333,162.5833333,113.3333333,178,35.75,279,279,548,27.58333333,167,19.16666667,214,125.9166667,186,23.41666667,333,219.6666667,1,2,0,0,1,26.67089134,88.19049042,0.028006629
2018-01-01 03,24.83333333,0.166666667,88.19049042,1/1/2018,Monday,140.5,0,523.5833333,151.75,79.33333333,160.5,110.5833333,178,37.5,279,279,548,24.41666667,167,15.25,214,134.6666667,186,25.5,333,222.4166667,1,3,0,0,1,26.67089134,88.19049042,0.028006629
2018-01-01 04,24.65833333,0.166666667,88.19049042,1/1/2018,Monday,141,0,530.0833333,156.5833333,87.66666667,183.75,105.1666667,178,37,279,279,548,17.91666667,167,10.41666667,214,126.3333333,186,2.25,333,227.8333333,1,4,0,0,1,26.67089134,88.19049042,0.028006629
2018-01-01 05,24.68333333,0.1,88.19049042,1/1/2018,Monday,140.4166667,0,530.5,153.9166667,86.58333333,185.6666667,104,178,37.58333333,279,279,548,17.5,167,13.08333333,214,127.4166667,186,0.333333333,333,229,1,5,0,0,1,26.67089134,88.19049042,0.028006629
2018-01-01 06,24.55833333,0.033333333,88.19049042,1/1/2018,Monday,137.3333333,0,530.1666667,151.0833333,90.33333333,186,104,178,40.66666667,279,279,548,17.83333333,167,15.91666667,214,123.6666667,186,0,333,229,1,6,0,0,1,26.67089134,88.19049042,0.028006629
2018-01-01 07,24.275,0.2,88.19049042,1/1/2018,Monday,138.3333333,0,525.0833333,146.1666667,93.08333333,185.4166667,108.5833333,178,39.66666667,279,279,548,22.91666667,167,20.83333333,214,120.9166667,186,0.583333333,333,224.4166667,1,7,0,0,1,26.67089134,88.19049042,0.028006629
2018-01-01 08,24.10833333,0.433333333,88.19049042,1/1/2018,Monday,146.0833333,0,508.0833333,138.25,97.91666667,185.6666667,109.8333333,178,31.91666667,279,279,548,39.91666667,167,28.75,214,116.0833333,186,0.333333333,333,223.1666667,1,8,0,0,1,26.67089134,88.19049042,0.028006629
2018-01-01 09,24.25833333,0.1,88.19049042,1/1/2018,Monday,159.5833333,0,479.0833333,112.8333333,106.0833333,184.8333333,102.9166667,178,18.41666667,279,279,548,68.91666667,167,54.16666667,214,107.9166667,186,1.166666667,333,230.0833333,1,9,0,0,1,26.67089134,88.19049042,0.028006629
