timestamp,L1,SE18,SE20,SE24,SE26,SE28,SE29
2018-10-01 00:05:00,70,15,515,160,77,155,80
2018-10-01 00:10:00,69,14,515,160,76,155,80
2018-10-01 00:15:00,70,14,517,162,74,156,79
2018-10-01 00:20:00,67,15,518,161,76,157,82
2018-10-01 00:25:00,67,14,519,162,74,157,84
2018-10-01 00:30:00,67,12,519,164,75,157,83
2018-10-01 00:35:00,69,13,520,164,75,156,82
2018-10-01 00:40:00,70,14,520,164,75,156,81
2018-10-01 00:45:00,69,15,521,163,76,156,81
2018-10-01 00:50:00,68,13,522,163,75,156,83
2018-10-01 00:55:00,68,11,522,162,73,155,83
2018-10-01 01:00:00,67,12,522,162,73,155,84
2018-10-01 01:05:00,67,11,521,164,75,154,85
2018-10-01 01:10:00,68,11,523,164,74,154,83
2018-10-01 01:15:00,67,11,523,164,72,154,79
2018-10-01 01:20:00,68,10,523,163,70,154,81
2018-10-01 01:25:00,68,11,523,162,72,153,78
2018-10-01 01:30:00,69,7,523,162,72,153,79
2018-10-01 01:35:00,69,7,524,164,72,153,79
2018-10-01 01:40:00,70,7,525,164,72,153,78
2018-10-01 01:45:00,70,5,526,164,72,153,77
2018-10-01 01:50:00,70,3,526,164,72,153,77
2018-10-01 01:55:00,69,2,525,163,72,153,77
2018-10-01 02:00:00,68,2,525,163,72,152,78
2018-10-01 02:05:00,69,2,525,164,71,152,76
2018-10-01 02:10:00,69,3,524,164,72,152,74
2018-10-01 02:15:00,68,1,524,164,71,152,77
2018-10-01 02:20:00,68,2,524,163,71,152,77
2018-10-01 02:25:00,68,2,524,162,71,151,76
2018-10-01 02:30:00,68,1,524,164,71,151,74
2018-10-01 02:35:00,67,2,524,164,69,151,78
2018-10-01 02:40:00,68,0,525,164,70,151,76
2018-10-01 02:45:00,68,1,525,163,68,151,77
2018-10-01 02:50:00,68,1,525,163,70,151,76
2018-10-01 02:55:00,68,0,525,163,70,151,76
2018-10-01 03:00:00,68,0,525,162,70,151,75
2018-10-01 03:05:00,68,0,525,162,70,151,74
2018-10-01 03:10:00,68,0,525,162,70,151,75
2018-10-01 03:15:00,68,0,525,162,70,151,74
2018-10-01 03:20:00,68,0,525,163,70,151,75
2018-10-01 03:25:00,68,0,525,163,70,151,75
2018-10-01 03:30:00,68,0,525,164,70,151,75
2018-10-01 03:35:00,68,0,525,164,69,151,75
2018-10-01 03:40:00,67,0,525,164,70,151,73
2018-10-01 03:45:00,67,0,524,163,70,151,71
2018-10-01 03:50:00,68,0,524,162,70,151,70
2018-10-01 03:55:00,67,0,524,162,71,151,74
2018-10-01 04:00:00,68,0,524,163,71,151,74
2018-10-01 04:05:00,68,0,524,33,71,151,72
2018-10-01 04:10:00,68,0,528,34,83,186,75
2018-10-01 04:15:00,68,0,528,34,83,186,75
2018-10-01 04:20:00,67,0,528,32,81,186,75
2018-10-01 04:25:00,68,0,528,33,82,186,75
2018-10-01 04:30:00,68,0,528,32,82,186,75
2018-10-01 04:35:00,67,0,529,31,82,186,74
2018-10-01 04:40:00,68,0,529,31,82,186,73
2018-10-01 04:45:00,68,0,529,31,81,186,73
2018-10-01 04:50:00,67,0,528,32,82,186,72
2018-10-01 04:55:00,67,0,527,31,82,186,76
2018-10-01 05:00:00,67,0,527,31,82,186,76
2018-10-01 05:05:00,67,0,527,33,82,186,74
2018-10-01 05:10:00,67,0,527,32,82,186,75
