"","binned_hours","airtemp","rainfal","humidity","hour","workingHour","workday","date","weekDay"
"1","2018-01-01 00",23.9818181818182,0.672727272727273,97.0818181818182,0,0,0,2018-01-01,"Monday"
"2","2018-01-01 01",23.6833333333333,1.58333333333333,98.25,1,0,0,2018-01-01,"Monday"
"3","2018-01-01 02",23.6166666666667,0.266666666666667,99.0333333333333,2,0,0,2018-01-01,"Monday"
"4","2018-01-01 03",23.7333333333333,0.0833333333333333,99.1,3,0,0,2018-01-01,"Monday"
"5","2018-01-01 04",23.7083333333333,0.233333333333333,99.1,4,0,0,2018-01-01,"Monday"
"6","2018-01-01 05",23.7,0.183333333333333,99.1,5,0,0,2018-01-01,"Monday"
"7","2018-01-01 06",23.5666666666667,0.05,99.1,6,0,0,2018-01-01,"Monday"
"8","2018-01-01 07",23.3083333333333,0.0833333333333333,99.1,7,0,0,2018-01-01,"Monday"
"9","2018-01-01 08",23.21,0.1,99.1,8,0,0,2018-01-01,"Monday"
"10","2018-01-01 09",23.275,0.1,99.1,9,0,1,2018-01-01,"Monday"
"11","2018-01-01 10",23.4916666666667,0.0666666666666667,99.1,10,0,1,2018-01-01,"Monday"
"12","2018-01-01 11",23.875,0.0166666666666667,98.3916666666667,11,0,1,2018-01-01,"Monday"
"13","2018-01-01 12",24.96,0,92.04,12,0,1,2018-01-01,"Monday"
"14","2018-01-01 13",25.4833333333333,0,88.7916666666667,13,0,1,2018-01-01,"Monday"
"15","2018-01-01 14",25.95,0,85.375,14,0,1,2018-01-01,"Monday"
"16","2018-01-01 15",26.3583333333333,0,83.9916666666667,15,0,1,2018-01-01,"Monday"
"17","2018-01-01 16",26.0083333333333,0,84.3916666666667,16,0,1,2018-01-01,"Monday"
"18","2018-01-01 17",25.4916666666667,0,86.0583333333333,17,0,1,2018-01-01,"Monday"
"19","2018-01-01 18",25.3916666666667,0,87.6833333333333,18,0,0,2018-01-01,"Monday"
"20","2018-01-01 19",25.1666666666667,0,89.8416666666667,19,0,0,2018-01-01,"Monday"
"21","2018-01-01 20",24.9083333333333,0,88.2916666666667,20,0,0,2018-01-01,"Monday"
"22","2018-01-01 21",24.6083333333333,0,89.175,21,0,0,2018-01-01,"Monday"
"23","2018-01-01 22",24.4083333333333,0,90.8666666666667,22,0,0,2018-01-01,"Monday"
"24","2018-01-01 23",24.2666666666667,0,91.9833333333333,23,0,0,2018-01-01,"Monday"
"25","2018-01-02 00",24.0272727272727,0,92.5454545454545,0,0,0,2018-01-02,"Tuesday"
"26","2018-01-02 01",24.1583333333333,0,91.9333333333333,1,0,0,2018-01-02,"Tuesday"
"27","2018-01-02 02",24.05,0,92.7333333333333,2,0,0,2018-01-02,"Tuesday"
"28","2018-01-02 03",24.1,0,93,3,0,0,2018-01-02,"Tuesday"
"29","2018-01-02 04",24.175,0,93.075,4,0,0,2018-01-02,"Tuesday"
"30","2018-01-02 05",24.2,0,94.2833333333333,5,0,0,2018-01-02,"Tuesday"
"31","2018-01-02 06",24.3,0,93.9916666666667,6,0,0,2018-01-02,"Tuesday"
"32","2018-01-02 07",24.6583333333333,0,92.1,7,0,0,2018-01-02,"Tuesday"
"33","2018-01-02 08",25.06,0,91.04,8,0,0,2018-01-02,"Tuesday"
"34","2018-01-02 09",25.4666666666667,0,89.35,9,0,1,2018-01-02,"Tuesday"
"35","2018-01-02 10",25.975,0,85.7166666666667,10,0,1,2018-01-02,"Tuesday"
"36","2018-01-02 11",26.5,0,82.3833333333333,11,0,1,2018-01-02,"Tuesday"
"37","2018-01-02 12",26.9666666666667,0,79.7333333333333,12,0,1,2018-01-02,"Tuesday"
"38","2018-01-02 13",26.8916666666667,0,80.1083333333333,13,0,1,2018-01-02,"Tuesday"
"39","2018-01-02 14",26.025,0.183333333333333,86.2916666666667,14,0,1,2018-01-02,"Tuesday"
